ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
5423,"Small scale grouped hydropower project by Phongsubthavy Group Sole Co., Ltd","Phongsubthavy Group Sole Co., Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration requested,Lao,"20,615",Asia,,2025-10-01,2032-09-30
5381,Alien Energy Biomass Waste to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under development,South Africa,"106,535",Africa,,2023-10-01,2030-09-30
5367,Fuel Switch Group Project: Accelerating Access to Clean Energy,Fuel Switch SA (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"28,500",Africa,,2023-08-07,2033-08-06
5344,Ejin Horo Banner MSW Landfill Biogas Pollution Control and Comprehensive Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"42,936",Asia,,2023-12-09,2033-12-08
5279,QK Solar PV Grouped Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"12,262",Africa,,2023-01-19,2030-01-18
5274,Sinan County domestic waste landfill biogas pollution control and comprehensive utilization project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.D.; AMS-III.G.,Under validation,China,"37,961",Asia,,2024-01-16,2034-01-15
5270,Primary Carbon Solar PV Grouped Project,Primary Carbon,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"3,322",Africa,,2023-09-01,2033-08-31
5167,Bundled Rooftop Solar Power Project by SPPL 02,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,India,"15,872",Asia,,2023-09-15,2030-09-14
5143,KARAGANDA LANDFILL GAS (LFG) CAPTURE AND UTILIZATION PROJECT,Linkpower s.r.o.,Energy industries (renewable/non-renewable sources),,ACM0001,Under validation,Kazakhstan,"93,973",,,2022-12-01,2032-11-30
5132,Omnia Solar PV Group Project,Omnia Group (Pty) Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Registration and verification approval request denied,South Africa,"33,513",Africa,,2022-11-03,2029-11-02
5113,OYU - Powering Kenyan SMEs with Clean Energy,OYU Green Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Kenya,"20,201",Africa,,2022-08-01,2029-07-31
5102,FX Group Biomass to Energy Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.; AMS-I.F.,Registration requested,South Africa,"14,761",Africa,,2022-10-12,2032-10-11
5098,Grouped Solar Power Plant Project of Bestway Cement Ltd.,Project Team ATR Inc.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Pakistan,"42,272",Asia,,2022-10-01,2032-09-30
5095,Helios Energía Limpia project: Biogas production from industrial waste,HELIOS ENERGIA LIMPIA S.A.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration requested,Argentina,"1,876",Latin America,,2022-06-29,2029-06-28
5056,15MW FLOATING SOLAR PV PROJECT IN HIMACHAL PRADESH,SJVN Green Energy Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,"28,601",Asia,,2024-09-14,2031-09-13
5034,90MW FLOATING SOLAR PV POWER PROJECT IN OMKARESHWAR,SJVN Green Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registration requested,India,"162,822",Asia,,2024-10-07,2031-10-06
5023,Small Scale Solar Grouped Project in South Africa,Catalyst Incentive Solutions (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,"5,613",Africa,,2022-05-01,2032-04-30
5005,NGON Texas Beneficial Use of Waste Flare Gas Energy,"NGON Solutions, LLC",Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012; AMS-III.Q,Registration and verification approval requested,United States,"17,800",North America,,2022-03-18,2029-03-17
4983,CORE CARBON SOLAR POWER PROJECT,Core CarbonX Solutions Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration and verification approval requested,India,"6,908",Asia,,2022-11-10,2029-11-09
4964,MALAYSIA RENEWABLE BIOENERGY GROUPED PROJECT BY CARBONTRACE,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,Malaysia,"10,249",Asia,,2023-07-26,2030-07-25
4934,Nam Ngiep 2A Hydropower project,Kosher Climate India Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration requested,Lao,"23,751",Asia,,2025-10-01,2032-09-30
4859,SMG Solar Water Pump - Program 01,OYU Green Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.B.,Under validation,India,"38,470",Asia,,2022-07-01,2029-06-30
4846,SOLAR PV BESS AND CBG HYBRID PROJECT IN THAILAND,Super Carbon X Company Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registration requested,Thailand,"18,713",Asia,,2023-01-20,2030-01-19
4844,"SOLAR ROOFTOP PROJECT NAKHON PATHOM, THAILAND",SPP Six Co. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Thailand,"8,237",Asia,,2023-11-01,2030-10-31
4684,Selabam Hydropower Extension Project,EDL-Generation Public Company,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registration request denied,Lao,"8,159",Asia,,2022-12-14,2029-12-13
4603,BATIKIPAS BIOGAS PLANT,Batıkipaş Kağıt San. Ve Tic. A.Ş.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0014,Registration requested,Turkey,"45,387",Europe,,2022-10-14,2029-10-13
4597,Varanasi Harit Koyla Pariyojna,NTPC Vidyut Vyapar Nigam Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,India,"143,324",Asia,,2024-01-01,2030-12-31
